Priority,Category,Opportunity Name,Current Visibility %,Competitor Avg %,Gap,Estimated Monthly Impact,Specific Actions,Where to Implement,Target Keywords,Example Questions,Status,Assigned To,Due Date
HIGH,Content,educational,17.0%,41.7%,0.0%,~310 mentions,1. Create how-to guides and tutorials for your products | 2. Add FAQ sections to product pages | 3. Film application videos and post on YouTube,"Blog, Resource center, FAQ pages","how to apply, tutorial, guide, tips",Compare how to apply eyeshadow for beginners to Pat McGrath Labs | Compare how to apply eyeshadow for beginners to Pat McGrath Labs | Compare fall eyeshadow palette 2024 to Charlotte Tilbury,TODO,,
HIGH,Content,informational,19.8%,41.7%,0.0%,~170 mentions,1. Create detailed guides and explainers | 2. Add comprehensive product information pages | 3. Write comparison articles and buying guides,"Landing pages, Blog, Product descriptions","what is, how does, guide to",Differences between cruelty free luxury eyeshadow and Too Faced | long lasting eyeshadow oily lids vs Tom Ford Beauty | Differences between cruelty free luxury eyeshadow and Tom Ford Beauty,TODO,,
HIGH,Audience,Luxury Beauty Enthusiast,22.3%,41.7%,0.0%,~130 mentions,1. Write detailed product comparison guides: luxury vs drugstore | 2. Create 'Investment Pieces' collection featuring top luxury items | 3. Add ingredient breakdowns and formulation details to product pages | 4. Film luxury unboxing and first impressions videos,"Product pages, Blog, YouTube, Social media","luxury eyeshadow, high-end makeup, premium beauty products",Compare luxury makeup worth the price to Sephora | Compare how to apply eyeshadow for beginners to Pat McGrath Labs | Compare how to apply eyeshadow for beginners to Pat McGrath Labs,TODO,,
MEDIUM,Audience,Professional Makeup Artist,10.8%,41.7%,0.0%,~90 mentions,1. Create '/for-professionals' landing page with pro-focused product info | 2. Write case studies from working MUAs with before/after photos | 3. Add professional use cases to product pages: '12-hour wear for bridal work' | 4. Feature pro discount and bulk ordering information,"Product pages, Blog, YouTube, Social media","professional makeup, pro artist, makeup for work",Which is better for me: professional makeup artist eyeshadow or Tom Ford Beauty | Which is better for me: professional makeup artist eyeshadow or Tom Ford Beauty | Which is better for me: cruelty free luxury eyeshadow or Sephora,TODO,,
MEDIUM,Audience,Specific Need Shopper,8.1%,41.7%,0.0%,~85 mentions,"1. Add FAQ sections to product pages addressing specific concerns (oily lids, hooded eyes, etc.) | 2. Create collection pages: 'Best for Hooded Eyes', 'Best for Oily Lids' | 3. Write problem-solution format guides: 'If you have X, use Y' | 4. Add before/after photos for specific skin concerns","Product pages, Blog, YouTube, Social media","Specific Need Shopper makeup, Specific Need Shopper beauty, Specific Need Shopper products",Differences between best luxury eyeshadow palette and Tom Ford Beauty | Differences between neutral eyeshadow palette and Stila | Differences between eyeshadow color for hazel eyes and Pat McGrath Labs,TODO,,
MEDIUM,Content,transactional,20.0%,41.7%,0.0%,~60 mentions,1. Optimize product pages with clear CTAs | 2. Add reviews and social proof to purchase pages | 3. Create special offer and bundle pages,"Landing pages, Blog, Product descriptions","buy, purchase, order, shop",Which is better for me: best bridal eyeshadow palette or Tom Ford Beauty | Which is better for me: best bridal eyeshadow palette or Tom Ford Beauty | What should I know about professional makeup artist eyeshadow,TODO,,
MEDIUM,Audience,Beauty Beginner (Aspirational),15.0%,41.7%,0.0%,~65 mentions,1. Write content targeting Beauty Beginner (Aspirational) | 2. Add Beauty Beginner (Aspirational)-focused sections to product pages | 3. Create case studies featuring Beauty Beginner (Aspirational) customers,"Product pages, Blog, YouTube, Social media","Beauty Beginner (Aspirational) makeup, Beauty Beginner (Aspirational) beauty, Beauty Beginner (Aspirational) products",Which is better for me: long lasting eyeshadow oily lids or Tom Ford Beauty | Which is better for me: luxury makeup worth the price or Charlotte Tilbury | Which is better for me: luxury makeup worth the price or Charlotte Tilbury,TODO,,
MEDIUM,Content,business,12.0%,41.7%,0.0%,~60 mentions,1. Write business case studies showing ROI | 2. Create professional buyer guides | 3. Add bulk ordering and professional discount information,"Blog, Resource center, FAQ pages","professional, bulk order, business account",Compare luxury makeup worth the price to Sephora | luxury makeup worth the price vs Anastasia Beverly Hills | luxury makeup worth the price vs Anastasia Beverly Hills,TODO,,
LOW,Content,comparison,12.0%,41.7%,0.0%,~60 mentions,1. Create 'vs competitor' comparison pages | 2. Add feature comparison charts | 3. Write honest head-to-head reviews,"Landing pages, Blog, Product descriptions","vs, versus, compare, difference between",Compare luxury makeup worth the price to Sephora | luxury makeup worth the price vs Anastasia Beverly Hills | luxury makeup worth the price vs Anastasia Beverly Hills,TODO,,
LOW,Content,educational,2.4%,41.7%,0.0%,~65 mentions,1. Create content targeting educational intent | 2. Optimize existing pages for educational queries | 3. Add educational-focused landing pages,"Landing pages, Blog, Product descriptions",educational queries,Compare how to apply eyeshadow for beginners to Pat McGrath Labs | Compare how to apply eyeshadow for beginners to Pat McGrath Labs | Which is better for me: how to apply eyeshadow for beginners or Tom Ford Beauty,TODO,,
